Formula,Fe,Co,Ni,Al,Ti,UTS_MPa,YS_MPa,Elongation_pct,HV,T_test_C,Test_Type,Phase,DOI,IsTensile
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,1074.0,900.0,25.0,,25.0,T,FCC+B2+Sec.,10.1016/j.scriptamat.2018.08.048,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,1050.0,860.0,48.0,,25.0,T,FCC+B2,10.1016/j.matlet.2017.04.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,930.0,690.0,51.0,,25.0,T,FCC+B2,10.1016/j.matlet.2017.04.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,800.0,550.0,64.0,,25.0,T,FCC+B2,10.1016/j.matlet.2017.04.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,620.0,260.0,87.0,,25.0,T,FCC,10.1016/j.matlet.2017.04.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,410.0,159.0,65.0,,25.0,T,FCC,10.1016/j.matdes.2017.02.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,520.0,215.0,43.0,,25.0,T,FCC+B2,10.1016/j.matdes.2017.02.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,540.0,285.0,55.0,,25.0,T,FCC+L12,10.1016/j.matdes.2017.02.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,589.0,263.0,60.0,,25.0,T,FCC,10.1016/j.matdes.2017.02.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,840.0,490.0,45.0,,25.0,T,FCC+L12+B2,10.1016/j.matdes.2017.02.072,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,335.0,175.0,58.0,,25.0,T,FCC+L12,10.1016/j.jallcom.2008.12.088,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,525.0,305.0,44.0,,25.0,T,FCC+L12,10.1016/j.jallcom.2008.12.088,1
Al0.304 Co1 Cr1 Fe1 Ni1,23.23,23.23,23.23,7.06,0.0,570.0,280.0,44.0,,25.0,T,FCC+B2,10.1016/j.jallcom.2008.12.088,1
Al1 Co1 Cr1 Fe1 Ni1,20.0,20.0,20.0,20.0,0.0,400.0,395.0,1.0,,700.0,T,BCC+B2,10.1016/j.msea.2015.08.078,1
Al1 Co1 Cr1 Fe1 Ni1,20.0,20.0,20.0,20.0,0.0,935.0,900.0,0.8,,25.0,T,FCC+BCC,10.1016/j.jallcom.2017.03.307,1
Al0.515 Cr0.515 Fe1 Ni1,33.0,0.0,33.0,17.0,0.0,1437.0,796.0,15.7,,25.0,T,FCC+BCC+B2,10.1016/j.matlet.2016.01.096,1
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,16.79,16.79,32.85,16.79,0.0,1030.0,545.0,16.5,,25.0,T,L12+B2,10.1016/j.actamat.2016.11.016,1
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,16.26,16.26,34.97,16.26,0.0,1050.0,545.0,16.5,,25.0,T,L12+B2,10.1016/j.actamat.2016.11.016,1
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,16.08,16.08,35.66,16.08,0.0,1110.0,545.0,20.0,,25.0,T,L12+B2,10.1016/j.actamat.2016.11.016,1
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,16.79,16.79,32.85,16.79,0.0,1034.0,580.0,10.5,,-70.0,T,,10.1016/j.actamat.2016.11.016,1
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,16.26,16.26,34.97,16.26,0.0,1168.0,595.0,15.8,,-70.0,T,,10.1016/j.actamat.2016.11.016,1
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,16.08,16.08,35.66,16.08,0.0,1143.0,570.0,18.0,,-70.0,T,,10.1016/j.actamat.2016.11.016,1
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,16.79,16.79,32.85,16.79,0.0,1000.0,700.0,4.0,,-192.0,T,,10.1016/j.actamat.2016.11.016,1
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,16.26,16.26,34.97,16.26,0.0,1000.0,700.0,7.0,,-192.0,T,,10.1016/j.actamat.2016.11.016,1
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,16.08,16.08,35.66,16.08,0.0,1000.0,700.0,9.0,,-192.0,T,,10.1016/j.actamat.2016.11.016,1
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,34.66,17.82,17.82,11.89,0.0,1223.0,866.0,7.9,,25.0,T,BCC+B2,10.1016/j.scriptamat.2016.04.014,1
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,34.66,17.82,17.82,11.89,0.0,468.0,400.0,6.3,,650.0,T,,10.1016/j.scriptamat.2016.04.014,1
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,34.66,17.82,17.82,11.89,0.0,340.0,220.0,5.4,,700.0,T,,10.1016/j.scriptamat.2016.04.014,1
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,23.53,23.53,23.53,3.93,1.95,503.0,210.0,70.0,,25.0,T,FCC,10.1016/j.actamat.2015.08.076,1
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,23.53,23.53,23.53,3.93,1.95,1094.0,645.0,39.0,,25.0,T,FCC+L12+Sec.,10.1016/j.actamat.2015.08.076,1
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,23.53,23.53,23.53,3.93,1.95,1273.0,1005.0,17.0,,25.0,T,FCC+L12+Sec.,10.1016/j.actamat.2015.08.076,1
